id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
304,COL4A2_ITGA2_ITGB1,98,399
305,COL4A5_ITGA2_ITGB1,99,399
306,COL4A6_ITGA2_ITGB1,100,399
307,COL6A1_ITGA2_ITGB1,101,399
308,COL6A2_ITGA2_ITGB1,102,399
309,COL6A3_ITGA2_ITGB1,103,399
310,COL9A1_ITGA2_ITGB1,104,399
311,COL9A2_ITGA2_ITGB1,105,399
312,COL9A3_ITGA2_ITGB1,106,399
313,FN1_ITGA3_ITGB1,107,400
314,FN1_ITGA4_ITGB1,107,384
315,FN1_ITGA5_ITGB1,107,387
316,FN1_ITGA8_ITGB1,107,386
317,LAMA1_ITGA1_ITGB1,108,388
318,LAMA2_ITGA1_ITGB1,109,388
319,LAMA3_ITGA1_ITGB1,110,388
320,LAMA4_ITGA1_ITGB1,111,388
321,LAMA5_ITGA1_ITGB1,112,388
322,LAMB1_ITGA1_ITGB1,113,388
323,LAMB2_ITGA1_ITGB1,114,388
324,LAMB3_ITGA1_ITGB1,115,388
325,LAMC1_ITGA1_ITGB1,116,388
326,LAMC3_ITGA1_ITGB1,117,388
327,LAMA1_ITGA2_ITGB1,108,399
328,LAMA2_ITGA2_ITGB1,109,399
329,LAMA3_ITGA2_ITGB1,110,399
330,LAMA4_ITGA2_ITGB1,111,399
331,LAMA5_ITGA2_ITGB1,112,399
332,LAMB1_ITGA2_ITGB1,113,399
333,LAMB2_ITGA2_ITGB1,114,399
334,LAMB3_ITGA2_ITGB1,115,399
335,LAMC1_ITGA2_ITGB1,116,399
336,LAMC3_ITGA2_ITGB1,117,399
337,LAMA1_ITGA3_ITGB1,108,400
338,LAMA2_ITGA3_ITGB1,109,400
339,LAMA3_ITGA3_ITGB1,110,400
340,LAMA4_ITGA3_ITGB1,111,400
341,LAMA5_ITGA3_ITGB1,112,400
342,LAMB1_ITGA3_ITGB1,113,400
343,LAMB2_ITGA3_ITGB1,114,400
344,LAMB3_ITGA3_ITGB1,115,400
345,LAMC1_ITGA3_ITGB1,116,400
346,LAMC3_ITGA3_ITGB1,117,400
347,RELN_ITGA3_ITGB1,118,400
348,THBS1_ITGA3_ITGB1,119,400
349,THBS2_ITGA3_ITGB1,120,400
350,THBS3_ITGA3_ITGB1,121,400
351,THBS4_ITGA3_ITGB1,122,400
352,COL1A1_ITGA3_ITGB1,94,400
353,COL1A2_ITGA3_ITGB1,95,400
354,COL2A1_ITGA3_ITGB1,96,400
355,COL4A1_ITGA3_ITGB1,97,400
356,COL4A2_ITGA3_ITGB1,98,400
357,COL4A5_ITGA3_ITGB1,99,400
358,COL4A6_ITGA3_ITGB1,100,400
359,COL6A1_ITGA3_ITGB1,101,400
360,COL6A2_ITGA3_ITGB1,102,400
